               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.012875,            0.017326,           0.0018781,             0.99563,                   1,               0.995,             0.89637,           0.0073171,           0.0081292,          0.00071695,            0.003532,            0.003532,            0.003532
                 100,            0.013237,            0.016395,           0.0016302,             0.99275,             0.98971,               0.995,             0.90103,           0.0077179,           0.0079148,            0.001111,            0.003466,            0.003466,            0.003466
                 101,            0.013125,            0.017099,           0.0015817,             0.99575,             0.99855,               0.995,             0.89699,           0.0077627,           0.0079558,          0.00065553,              0.0034,              0.0034,              0.0034
                 102,            0.012798,            0.016757,           0.0015596,             0.99542,             0.99455,               0.995,             0.90079,           0.0076011,           0.0079411,          0.00066018,            0.003334,            0.003334,            0.003334
                 103,              0.0125,            0.016928,           0.0017899,             0.99608,             0.99453,               0.995,             0.90284,           0.0075639,           0.0079697,          0.00072398,            0.003268,            0.003268,            0.003268
                 104,            0.012309,            0.017482,           0.0017706,             0.99536,             0.99882,               0.995,             0.89463,           0.0079611,           0.0081247,          0.00075958,            0.003202,            0.003202,            0.003202
                 105,            0.012247,             0.01618,           0.0015021,             0.99642,             0.99433,               0.995,             0.89811,           0.0076535,           0.0080626,          0.00068796,            0.003136,            0.003136,            0.003136
                 106,            0.012721,            0.017304,           0.0018375,             0.99349,             0.99767,               0.995,             0.89712,           0.0077714,           0.0082461,          0.00062177,             0.00307,             0.00307,             0.00307
                 107,            0.012359,            0.016762,           0.0013858,             0.99585,                   1,               0.995,              0.8947,           0.0077278,           0.0084093,          0.00068651,            0.003004,            0.003004,            0.003004
                 108,            0.012144,            0.016987,           0.0014877,             0.98287,                   1,               0.995,             0.90009,           0.0074264,            0.008075,          0.00090635,            0.002938,            0.002938,            0.002938
                 109,            0.012193,            0.016936,           0.0016982,             0.98565,              0.9966,               0.995,             0.89311,           0.0074892,            0.008007,          0.00084113,            0.002872,            0.002872,            0.002872
                 110,            0.012119,            0.016737,           0.0012102,             0.99328,             0.99205,               0.995,             0.89978,           0.0075597,           0.0080581,          0.00064429,            0.002806,            0.002806,            0.002806
                 111,            0.011989,            0.016462,           0.0015836,             0.98927,             0.99383,               0.995,             0.90078,           0.0075238,           0.0079999,            0.000747,             0.00274,             0.00274,             0.00274
                 112,            0.012099,            0.016648,           0.0017578,             0.99417,             0.99171,               0.995,             0.89568,           0.0074277,           0.0081497,          0.00082139,            0.002674,            0.002674,            0.002674
                 113,            0.012153,            0.016103,           0.0017824,             0.99457,             0.99879,               0.995,             0.89737,           0.0071507,           0.0081679,          0.00071952,            0.002608,            0.002608,            0.002608
                 114,            0.011401,            0.016061,           0.0015678,             0.99456,             0.99519,               0.995,             0.90038,           0.0074637,           0.0082041,          0.00065489,            0.002542,            0.002542,            0.002542
                 115,            0.011763,             0.01686,           0.0017777,             0.99615,             0.99454,               0.995,             0.89546,           0.0073952,           0.0080947,          0.00048335,            0.002476,            0.002476,            0.002476
                 116,            0.011405,            0.016626,           0.0015236,             0.99224,             0.99693,               0.995,             0.90327,           0.0071289,           0.0080904,          0.00058334,             0.00241,             0.00241,             0.00241
                 117,            0.011455,            0.016005,           0.0015659,             0.99291,             0.99859,               0.995,             0.90289,           0.0072639,           0.0080148,          0.00056374,            0.002344,            0.002344,            0.002344
                 118,            0.011403,            0.016552,           0.0016576,             0.99534,             0.99575,               0.995,             0.90202,            0.007288,           0.0082581,          0.00048651,            0.002278,            0.002278,            0.002278
                 119,            0.011104,             0.01601,           0.0013824,             0.99335,             0.99106,               0.995,             0.90262,           0.0071291,           0.0082139,          0.00052646,            0.002212,            0.002212,            0.002212
                 120,            0.011528,            0.016337,           0.0014911,             0.99393,             0.99181,               0.995,             0.90501,           0.0073148,           0.0080415,          0.00051311,            0.002146,            0.002146,            0.002146
                 121,            0.011147,            0.015683,           0.0013923,             0.99575,             0.99304,               0.995,             0.90124,           0.0072801,           0.0081937,          0.00042475,             0.00208,             0.00208,             0.00208
                 122,            0.011033,            0.016348,           0.0013669,             0.99406,             0.99729,               0.995,             0.90364,            0.007045,            0.008347,          0.00064162,            0.002014,            0.002014,            0.002014
                 123,            0.011152,             0.01572,           0.0014756,             0.99419,             0.99761,               0.995,              0.9046,           0.0069583,           0.0079811,          0.00051774,            0.001948,            0.001948,            0.001948
                 124,            0.010893,            0.016254,           0.0011884,             0.99519,             0.99788,               0.995,             0.90338,           0.0072059,           0.0080645,          0.00042614,            0.001882,            0.001882,            0.001882
                 125,            0.010985,              0.0158,           0.0012713,             0.99529,             0.99851,               0.995,             0.90433,           0.0070623,           0.0079722,          0.00038266,            0.001816,            0.001816,            0.001816
                 126,            0.010821,             0.01578,           0.0012926,             0.99469,              0.9938,               0.995,             0.90132,           0.0072785,           0.0082643,          0.00038409,             0.00175,             0.00175,             0.00175
                 127,            0.010558,            0.015609,           0.0011579,             0.99444,             0.99418,               0.995,             0.90301,           0.0070919,           0.0082868,          0.00041456,            0.001684,            0.001684,            0.001684
                 128,            0.010785,            0.015306,           0.0013802,             0.99567,             0.99434,               0.995,             0.90054,            0.006953,           0.0081435,          0.00038995,            0.001618,            0.001618,            0.001618
                 129,            0.010661,            0.015622,           0.0012219,             0.99401,                   1,               0.995,             0.90061,           0.0069183,           0.0082004,          0.00043768,            0.001552,            0.001552,            0.001552
                 130,            0.010553,            0.015758,            0.001201,             0.99577,             0.99474,               0.995,             0.90467,           0.0068349,           0.0079464,          0.00034189,            0.001486,            0.001486,            0.001486
                 131,            0.010189,             0.01483,           0.0011726,             0.99615,             0.99364,               0.995,             0.90583,           0.0068081,           0.0079695,          0.00030989,             0.00142,             0.00142,             0.00142
                 132,              0.0105,            0.014967,           0.0013066,             0.99443,             0.99337,               0.995,             0.90994,            0.006822,           0.0080811,          0.00029747,            0.001354,            0.001354,            0.001354
                 133,           0.0098723,            0.015013,          0.00084819,             0.99511,              0.9929,               0.995,             0.90363,           0.0068921,            0.008129,          0.00030681,            0.001288,            0.001288,            0.001288
                 134,            0.010304,            0.015184,           0.0011089,             0.99571,              0.9928,               0.995,              0.9021,           0.0068386,           0.0079714,           0.0003345,            0.001222,            0.001222,            0.001222
                 135,            0.010084,            0.015394,           0.0012756,             0.99509,              0.9933,               0.995,             0.90779,           0.0067193,           0.0079416,          0.00036711,            0.001156,            0.001156,            0.001156
                 136,             0.01007,             0.01516,           0.0011773,              0.9961,             0.99309,               0.995,             0.90803,           0.0066925,           0.0078326,          0.00033016,             0.00109,             0.00109,             0.00109
                 137,           0.0098471,             0.01533,          0.00094591,              0.9965,             0.99337,               0.995,             0.90842,           0.0065987,           0.0079079,          0.00030367,            0.001024,            0.001024,            0.001024
                 138,           0.0096488,            0.015226,          0.00093796,             0.99426,             0.99401,               0.995,             0.90713,           0.0067537,           0.0079246,          0.00034282,            0.000958,            0.000958,            0.000958
                 139,           0.0098156,            0.015386,          0.00087902,               0.985,              0.9968,               0.995,             0.90411,           0.0068517,           0.0080268,           0.0004652,            0.000892,            0.000892,            0.000892
                 140,            0.010156,            0.014919,           0.0010675,             0.98775,              0.9974,               0.995,             0.90341,            0.006772,           0.0080812,          0.00041678,            0.000826,            0.000826,            0.000826
                 141,           0.0096495,            0.015422,          0.00084466,              0.9948,             0.99417,               0.995,             0.90713,            0.006801,           0.0081939,          0.00031161,             0.00076,             0.00076,             0.00076
                 142,            0.010027,            0.014534,          0.00092103,             0.99598,             0.99334,               0.995,              0.9068,           0.0067566,           0.0082208,          0.00026297,            0.000694,            0.000694,            0.000694
                 143,           0.0094702,            0.014625,          0.00096636,             0.99574,             0.99336,               0.995,             0.90492,           0.0067416,           0.0082221,          0.00025239,            0.000628,            0.000628,            0.000628
                 144,            0.010013,            0.014648,           0.0010021,             0.99558,             0.99352,               0.995,             0.90662,           0.0067226,           0.0079948,          0.00026939,            0.000562,            0.000562,            0.000562
                 145,           0.0095788,            0.014817,          0.00084706,             0.99154,             0.99544,               0.995,             0.90844,           0.0067441,           0.0080067,          0.00031419,            0.000496,            0.000496,            0.000496
                 146,           0.0095332,            0.014639,          0.00099921,             0.99142,             0.99662,               0.995,             0.90961,           0.0066038,           0.0079497,          0.00031261,             0.00043,             0.00043,             0.00043
                 147,           0.0096096,            0.014195,          0.00091314,             0.99334,             0.99512,               0.995,             0.90531,           0.0067405,           0.0080303,          0.00028032,            0.000364,            0.000364,            0.000364
                 148,           0.0095032,            0.014667,          0.00092728,              0.9962,             0.99339,               0.995,             0.90736,            0.006607,           0.0081006,          0.00023205,            0.000298,            0.000298,            0.000298
                 149,            0.009217,            0.015234,          0.00085762,             0.99612,             0.99331,               0.995,             0.90647,            0.006724,           0.0080866,          0.00021765,            0.000232,            0.000232,            0.000232
